sale_id,product_id,sale_date,quantity,region
1,17,2024-08-15,3,South
2,31,2024-11-30,1,East
3,49,2024-04-21,3,South
4,21,2024-07-15,3,North
5,24,2024-08-12,4,North
6,19,2024-09-14,4,East
7,35,2024-09-01,1,East
8,42,2024-08-08,1,South
9,25,2024-05-24,2,West
10,25,2024-04-09,1,South
11,1,2024-06-25,1,East
12,43,2024-04-08,2,East
13,10,2024-12-02,3,South
14,41,2024-07-28,1,West
15,8,2024-01-02,2,South
16,34,2024-01-01,1,South
17,29,2024-09-18,4,East
18,25,2024-08-01,2,East
19,48,2024-04-12,1,North
20,6,2024-06-06,1,North
21,21,2024-08-01,5,East
22,49,2024-04-09,1,West
23,36,2024-07-23,1,East
24,9,2024-03-06,4,West
25,27,2024-08-02,2,East
26,14,2024-05-08,1,West
27,31,2024-04-04,2,West
28,4,2024-12-06,1,South
29,26,2024-08-23,1,West
30,22,2024-02-06,2,North
31,44,2024-10-18,2,North
32,21,2024-10-25,1,South
33,38,2024-03-10,4,West
34,4,2024-01-19,1,South
35,49,2024-10-11,1,West
36,45,2024-01-30,3,South
37,8,2024-04-06,1,East
38,43,2024-05-21,1,South
39,12,2024-10-13,2,North
40,3,2024-12-13,1,South
41,35,2024-03-17,1,West
42,23,2024-03-26,3,South
43,23,2024-11-10,4,South
44,35,2024-06-23,3,West
45,20,2024-04-06,1,North
46,32,2024-03-16,2,North
47,25,2024-04-28,4,North
48,37,2024-04-30,1,North
49,11,2024-03-23,3,East
50,21,2024-05-09,2,West
51,20,2024-01-11,4,South
52,19,2024-01-06,3,East
53,8,2024-05-28,1,North
54,23,2024-01-21,1,East
55,29,2024-06-20,3,North
56,37,2024-07-11,2,South
57,28,2024-12-21,3,East
58,24,2024-07-23,2,South
59,34,2024-03-30,1,North
60,16,2024-04-18,2,South
61,7,2024-10-17,1,North
62,9,2024-04-13,4,South
63,8,2024-11-18,5,East
64,38,2024-04-03,3,South
65,42,2024-01-02,1,West
66,6,2024-08-16,2,East
67,10,2024-08-10,4,North
68,26,2024-07-08,1,West
69,46,2024-04-16,3,West
70,5,2024-11-09,3,South
71,32,2024-08-31,1,East
72,42,2024-03-26,2,North
73,16,2024-04-30,2,West
74,26,2024-07-21,1,East
75,34,2024-06-14,1,South
76,41,2024-02-19,1,North
77,5,2024-08-11,1,North
78,7,2024-12-05,1,East
79,37,2024-01-06,2,South
80,8,2024-07-05,1,South
81,8,2024-12-22,1,West
82,2,2024-01-29,1,South
83,2,2024-11-07,3,North
84,46,2024-07-02,3,South
85,10,2024-10-02,3,North
86,12,2024-01-15,1,East
87,6,2024-11-13,4,North
88,8,2024-08-10,1,East
89,28,2024-09-11,2,West
90,42,2024-10-13,1,East
91,18,2024-02-29,2,North
92,15,2024-01-18,1,North
93,20,2024-05-18,2,South
94,29,2024-04-18,2,North
95,33,2024-11-04,1,West
96,48,2024-03-03,1,West
97,11,2024-12-26,3,East
98,16,2024-09-17,2,North
99,26,2024-05-26,3,North
100,18,2024-10-29,1,West
101,50,2024-06-22,1,North
102,37,2024-01-25,1,South
103,14,2024-07-28,3,North
104,8,2024-01-11,3,South
105,43,2024-04-14,2,North
106,28,2024-01-07,3,East
107,9,2024-04-03,3,East
108,46,2024-03-31,1,East
109,49,2024-04-04,1,North
110,18,2024-02-09,4,East
111,47,2024-05-08,1,East
112,3,2024-03-04,2,North
113,31,2024-05-08,1,East
114,14,2024-11-02,3,East
115,18,2024-08-17,1,South
116,20,2024-08-23,1,South
117,15,2024-09-14,2,North
118,36,2024-04-26,1,South
119,1,2024-10-20,1,West
120,6,2024-10-24,1,North
121,25,2024-08-05,1,South
122,50,2024-02-15,1,South
123,10,2024-02-28,2,East
124,36,2024-03-29,2,South
125,40,2024-02-15,1,North
126,20,2024-04-21,1,North
127,29,2024-08-14,1,East
128,23,2024-04-21,1,East
129,44,2024-12-22,4,South
130,41,2024-04-16,2,West
131,48,2024-08-31,2,South
132,35,2024-09-22,1,North
133,22,2024-11-06,1,West
134,5,2024-01-24,2,East
135,13,2024-07-04,1,North
136,19,2024-10-08,1,East
137,14,2024-08-04,1,South
138,3,2024-11-17,1,West
139,28,2024-07-09,3,West
140,7,2024-05-12,4,East
141,5,2024-03-09,1,North
142,24,2024-01-03,1,South
143,8,2024-10-30,2,East
144,27,2024-05-21,3,South
145,43,2024-12-07,3,East
146,27,2024-12-25,3,North
147,33,2024-10-07,2,South
148,27,2024-05-06,2,South
149,20,2024-05-15,1,West
150,23,2024-02-17,1,West
151,31,2024-04-26,2,West
152,17,2024-06-03,2,North
153,30,2024-03-05,3,North
154,27,2024-06-30,1,East
155,3,2024-10-01,1,South
156,29,2024-01-08,1,West
157,41,2024-09-11,2,South
158,39,2024-01-23,1,West
159,9,2024-04-04,5,West
160,39,2024-05-27,1,North
161,4,2024-06-03,1,South
162,26,2024-10-18,3,West
163,19,2024-03-10,2,South
164,45,2024-12-19,3,East
165,13,2024-10-01,2,East
166,33,2024-03-31,1,North
167,30,2024-07-18,2,East
168,8,2024-11-06,1,South
169,45,2024-01-16,1,South
170,42,2024-12-11,2,North
171,34,2024-03-22,3,East
172,21,2024-05-10,1,West
173,17,2024-03-23,1,South
174,10,2024-01-04,2,West
175,48,2024-05-22,3,East
176,5,2024-11-19,2,North
177,26,2024-09-14,2,South
178,15,2024-08-27,1,West
179,35,2024-06-18,2,East
180,46,2024-04-20,1,South
181,34,2024-11-17,3,West
182,16,2024-03-21,2,South
183,6,2024-06-23,1,North
184,41,2024-02-14,1,South
185,29,2024-05-14,1,North
186,42,2024-04-03,2,West
187,42,2024-11-01,1,East
188,40,2024-03-27,4,West
189,24,2024-10-18,2,South
190,29,2024-09-04,1,West
191,17,2024-12-17,2,East
192,29,2024-10-01,2,North
193,3,2024-09-04,4,West
